"","B/AICHI/7/1998","B/ALGERIA/G-486/2010","B/ALGERIA/G486/2010","B/BANGKOK/163/1990","B/BANGLADESH/3333/2007","B/BANGLADESH/3333/2008","B/BARCELONA/143/2008","B/BEIJING/184/1993","B/BRISBANE/3/2007","B/EGYPT/144/2005","B/ENGLAND/145/2008","B/ESTONIA/55669/2011","B/FLORIDA/4/2006","B/FLORIDA/7/2004","B/FLORIDA/7/2005","B/GUANGDONG/120/2000","B/HARBIN/7/1994","B/HONG-KONG/3577/2012","B/HONGKONG/22/1989","B/JIANGSU/10/2003","B/JOHANNESBURG/69/2001","B/LUSAKA/270/1999","B/LUSAKA/432/1999","B/MASSACHUSETTS/2/2012","B/MIE/1/1993","B/NIEDERSACHSEN/1/2010","B/NOVOSIBIRSK/1/2012","B/SENDAI/114/2007","B/SERBIA/1894/2011","B/SHANGHAI/361/2002","B/SHIGA/T30/1998","B/SHIZUOKA/15/2001","B/SICHUAN/379/1999","B/STOCKHOLM/12/2011","B/VALLADOLID/18/2008","B/VICTORIA/502/2004","B/WISCONSIN/1/2010","B/YAMAGATA/16/1988","B/YAMAGATA/552/2001","B/YAMAGATA/K501/2001","B/YAMAGATA/K515/2001","B/YAMANASHI/166/1998"
"B/Kadoma/122/1999_1999.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320"
"B/Kadoma/409/2000_2000.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160"
"B/Kadoma/506/1999_1999.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320"
"B/Kobe/1/1994_1994.0_x_x_YAM","*","*","*","40","*","*","*","40","*","*","*","*","*","*","*","*","320","*","40","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*"
"B/Lisbon/1/2004_2004.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*","320","*","*","160","*","*","*","*","*","*","*","*","*"
"B/Lisbon/2/2005_2005.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*","*","*","*","*","160","*","*","80","*","*","*","*","*","*","*","*","*"
"B/Lisbon/3/2005_2005.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","*","*","*","*","*","160","*","*","80","*","*","*","*","*","*","*","*","*"
"B/Lusaka/270/1999_1999.0_x_x_YAM","128","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","512","128","*","128","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"B/Lusaka/432/1999_1999.0_x_x_YAM","128","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","512","128","*","256","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"B/Lyon/1283/2007_2007.0_x_x_YAM","*","*","*","*","*","*","*","*","160","320","*","*","160","160","*","*","*","*","*","80","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","*","*","*","*","*","*","*"
"B/Macau/131/2004_2004.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","640","*","*","*","*","*","*","*","*","*","*","*","*"
"B/Mashad/6/2009_2009.0_x_x_YAM","*","*","*","*","160","*","*","*","160","80","80","*","80","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*","*","*"
"B/Mauritius/481/2007_2007.0_x_x_YAM","*","*","*","*","*","*","*","*","*","160","*","*","1280","640","*","*","*","*","*","80","*","*","*","*","*","*","*","*","*","80","*","*","40","*","*","*","*","*","*","*","*","*"
"B/Mie/1/1993_1993.0_x_x_YAM","128","*","*","256","*","*","*","160","*","*","*","*","*","*","*","*","640","*","20","*","*","512","256","*","512","*","*","*","*","*","*","*","*","*","*","*","*","640","*","*","*","*"
