Name,Add,Lb,long,lat
杭州华东武林大药房有限公司新华路分店,杭州市新华路161号,二级 乙等,30.26927201,120.1826041
浙江国药大药房有限公司屏风街连锁店,杭州市下城区屏风街98号一楼,二级 乙等,30.27283686,120.17546
浙江国药大药房有限公司杭州新市街连锁店,杭州市下城区新市街77号,二级 乙等,30.29292562,120.1744722
浙江国药大药房有限公司保俶路连锁店,杭州市王家弄30-33号,二级 乙等,30.27415282,120.1538973
杭州布衣大药房连锁有限公司华星路店,杭州市西湖区嘉绿苑南5幢商铺5-1号,二级 乙等,30.28551175,120.1239741
杭州长庆布衣大药房有限公司,杭州市长庆街46号,二级 乙等,30.26632986,120.1797371
杭州东仁堂医药零售连锁有限公司小和山店,杭州市留下街道小和山新苑8区2幢,二级 乙等,30.20955438,120.0377529
杭州东仁堂医药零售连锁有限公司天城路店,杭州市天城路81号,二级 乙等,30.29321297,120.2116062
浙江天天好大药房连锁有限公司大学路店,杭州市大学路138-140号,二级 乙等,30.26212967,120.1896084
浙江天天好大药房连锁有限公司北景园店,杭州市北景园回龙路229-3,二级 乙等,30.34468967,120.1918413
浙江九洲大药房连锁有限公司吴山店,杭州市延安路35号,二级 乙等,30.24831294,120.1709627
浙江九洲大药房连锁有限公司下沙二店,杭州市白杨街道4号大街591号一层,二级 乙等,30.31151035,120.344474
浙江九洲大药房连锁有限公司泰和分店,杭州市解放路121号,二级 乙等,30.25618736,120.1820223
杭州崇德堂大药房,杭州市余杭区乔司镇乔莫东路52号,二级 乙等,30.35504613,120.3009278
浙江英特怡年药房连锁有限公司,杭州市莫干山路110-6号,二级 乙等,30.28658103,120.1567375
浙江天天好大药房连锁有限公司凤起店,杭州市凤起路93号,二级 乙等,30.2696987,120.1889016
浙江天天好大药房连锁有限公司古墩店,杭州市古墩路353号,二级 乙等,30.28376672,120.1065999
浙江国药大药房有限公司文二路连锁店,杭州市文二路225-8、225-9号,二级 乙等,30.28907897,120.1410505
浙江国药大药房有限公司鼓楼连锁店,杭州市中山南路349号,二级 乙等,30.23932823,120.1770092
桐庐怡生堂大药房连锁有限公司临平连锁店,杭州市临平南苑街道逸仙路3-11号,二级 乙等,30.42446647,120.3094904
杭州华东武林大药房有限公司近江分店,杭州市近江路2幢4单元102室,二级 乙等,30.24478938,120.1985934
杭州华东武林大药房有限公司丰潭路分店,杭州市三墩镇丰潭路251号,二级,30.30235102,120.1122998
杭州汤养元医药有限公司,杭州市中山中路323号,二级 乙等,30.2559562,120.176816
杭州邵医药店有限公司,杭州市庆春路3号,二级 乙等,30.2632095,120.2025421
杭州同一大药房有限公司,杭州市湖州街第一连锁店112号,二级 乙等,30.32721535,120.1673965
杭州海王星辰健康药房有限公司金祝店,杭州市西湖区体育场路538号,二级 乙等,30.27542685,120.1585469
老百姓大药房连锁（浙江）有限公司解放路店,杭州市解放路92号,二级 乙等,30.25675574,120.1826771
浙江国药大药房东山药店有限公司,杭州市浙大路7号旁,二级 乙等,30.26617319,120.135572
杭州华东武林大药房有限公司朝晖分店,杭州市新市街190号,二级,30.29193943,120.1681687
杭州华东武林大药房有限公司武林路分店,杭州市武林路438号,二级,30.27542919,120.1658649
杭州西洋桥大药房有限公司,杭州市余杭区临平街道西大街9号,二级 乙等,30.42293618,120.3048686
