V2,V3,V4,V5,V6,,
东莞市,2014/11/22,123,轻度污染,O3,,
中山市,2014/11/22,67,良,PM10,,
潮州市,2014/11/22,103,轻度污染,O3,,
揭阳市,2014/11/22,103,轻度污染,O3,,
云浮市,2014/11/22,91,良,O3,,
南宁市,2014/11/22,134,轻度污染,PM2.5,,
柳州市,2014/11/22,222,重度污染,PM2.5,,
桂林市,2014/11/22,222,重度污染,PM2.5,,
北海市,2014/11/22,100,良,O3,,
海口市,2014/11/22,37,优,,,
三亚市,2014/11/22,42,优,,,
重庆市,2014/11/22,109,轻度污染,PM2.5,,
成都市,2014/11/22,82,良,PM10,,
自贡市,2014/11/22,89,良,PM2.5,,
攀枝花市,2014/11/22,62,良,PM10,,
泸州市,2014/11/22,60,良,PM2.5,,
德阳市,2014/11/22,95,良,PM2.5,,
绵阳市,2014/11/22,119,轻度污染,PM2.5,,
南充市,2014/11/22,105,轻度污染,PM2.5,,
宜宾市,2014/11/22,52,良,PM2.5,,
贵阳市,2014/11/22,83,良,PM2.5,,
遵义市,2014/11/22,80,良,PM2.5,,
昆明市,2014/11/22,51,良,PM10,,
曲靖市,2014/11/22,52,良,PM10,,
玉溪市,2014/11/22,47,优,,,
拉萨市,2014/11/22,71,良,PM10,,
西安市,2014/11/22,242,重度污染,PM2.5,,
铜川市,2014/11/22,190,中度污染,PM2.5,,
宝鸡市,2014/11/22,144,轻度污染,PM2.5,,
咸阳市,2014/11/22,218,重度污染,PM2.5,,
渭南市,2014/11/22,201,重度污染,PM2.5,,
延安市,2014/11/22,100,良,PM2.5,,
兰州市,2014/11/22,94,良,PM2.5,,
嘉峪关市,2014/11/22,60,良,PM10,,
金昌市,2014/11/22,74,良,PM10,PM2.5,
西宁市,2014/11/22,119,轻度污染,PM2.5,,
银川市,2014/11/22,150,轻度污染,PM2.5,,
石嘴山市,2014/11/22,98,良,SO2,PM10,
乌鲁木齐市,2014/11/22,98,良,PM2.5,,
克拉玛依市,2014/11/22,67,良,PM10,,
库尔勒市,2014/11/22,90,良,PM2.5,,
北京市,2014/11/20,351,严重污染,PM2.5,,
天津市,2014/11/20,241,重度污染,PM2.5,,
石家庄市,2014/11/20,415,严重污染,PM2.5,,
唐山市,2014/11/20,263,重度污染,PM2.5,,
秦皇岛市,2014/11/20,235,重度污染,PM2.5,,
邯郸市,2014/11/20,262,重度污染,PM2.5,,
邢台市,2014/11/20,408,严重污染,PM10,,
保定市,2014/11/20,468,严重污染,PM10,,
承德市,2014/11/20,211,重度污染,PM2.5,,
沧州市,2014/11/20,231,重度污染,PM2.5,,
廊坊市,2014/11/20,425,严重污染,PM10,,
衡水市,2014/11/20,245,重度污染,PM2.5,,
张家口市,2014/11/20,70,良,O3,,
太原市,2014/11/20,200,中度污染,PM2.5,,
大同市,2014/11/20,71,良,PM10,,
阳泉市,2014/11/20,154,中度污染,PM10,,
长治市,2014/11/20,241,重度污染,PM2.5,,
临汾市,2014/11/20,188,中度污染,PM2.5,,
呼和浩特市,2014/11/20,137,轻度污染,PM10,,
包头市,2014/11/20,140,轻度污染,PM10,,
赤峰市,2014/11/20,145,轻度污染,PM10,,
鄂尔多斯市,2014/11/20,62,良,PM10,,
沈阳市,2014/11/20,113,轻度污染,PM2.5,,
大连市,2014/11/20,112,轻度污染,PM2.5,,
鞍山市,2014/11/20,104,轻度污染,PM2.5,,
抚顺市,2014/11/20,70,良,PM2.5,,
本溪市,2014/11/20,70,良,PM2.5,,
丹东市,2014/11/20,79,良,PM2.5,,
锦州市,2014/11/20,138,轻度污染,PM2.5,,
营口市,2014/11/20,64,良,PM2.5,O3,
盘锦市,2014/11/20,137,轻度污染,PM2.5,,
葫芦岛市,2014/11/20,137,轻度污染,PM2.5,,
长春市,2014/11/20,102,轻度污染,PM2.5,,
吉林市,2014/11/20,72,良,PM2.5,,
哈尔滨市,2014/11/20,138,轻度污染,PM2.5,,
齐齐哈尔市,2014/11/20,249,重度污染,PM2.5,,
大庆市,2014/11/20,130,轻度污染,PM2.5,,
牡丹江市,2014/11/20,178,中度污染,PM2.5,,
上海市,2014/11/20,72,良,NO2,,
南京市,2014/11/20,163,中度污染,PM2.5,,
无锡市,2014/11/20,110,轻度污染,PM2.5,,
徐州市,2014/11/20,132,轻度污染,PM2.5,,
常州市,2014/11/20,112,轻度污染,PM2.5,,
苏州市,2014/11/20,100,良,NO2,,
南通市,2014/11/20,79,良,NO2,,
连云港市,2014/11/20,119,轻度污染,PM2.5,,
淮安市,2014/11/20,147,轻度污染,PM2.5,,
盐城市,2014/11/20,90,良,PM2.5,,
扬州市,2014/11/20,114,轻度污染,PM2.5,,
镇江市,2014/11/20,140,轻度污染,PM2.5,,
泰州市,2014/11/20,166,中度污染,PM2.5,,
宿迁市,2014/11/20,123,轻度污染,PM2.5,,
杭州市,2014/11/20,135,轻度污染,PM2.5,,
宁波市,2014/11/20,65,良,NO2,,
温州市,2014/11/20,75,良,NO2,,
嘉兴市,2014/11/20,79,良,PM2.5,,
湖州市,2014/11/20,120,轻度污染,PM2.5,,
金华市,2014/11/20,95,良,PM2.5,,
衢州市,2014/11/20,80,良,PM2.5,,
舟山市,2014/11/20,55,良,O3,,
台州市,2014/11/20,61,良,PM10,,
丽水市,2014/11/20,72,良,PM2.5,,
绍兴市,2014/11/20,160,中度污染,PM2.5,,
合肥市,2014/11/20,150,轻度污染,PM2.5,,
芜湖市,2014/11/20,103,轻度污染,PM2.5,,
马鞍山市,2014/11/20,135,轻度污染,PM2.5,,
福州市,2014/11/20,55,良,PM10,,
厦门市,2014/11/20,53,良,PM10,,
泉州市,2014/11/20,49,优,,,
南昌市,2014/11/20,137,轻度污染,PM2.5,,
九江市,2014/11/20,99,良,PM10,,
济南市,2014/11/20,127,轻度污染,PM2.5,,
青岛市,2014/11/20,110,轻度污染,PM2.5,,
淄博市,2014/11/20,142,轻度污染,PM2.5,,
枣庄市,2014/11/20,153,中度污染,PM2.5,,
东营市,2014/11/20,196,中度污染,PM2.5,,
烟台市,2014/11/20,83,良,PM2.5,,
潍坊市,2014/11/20,180,中度污染,PM2.5,,
