年龄,总计,总计男,总计女,总计15小,15小男,15小女,总计15,总计15男,总计15女,总计16,总计16男,总计16女,总计17,总计17男,总计17女,总计18,总计18男,总计18女,总计19,总计19男,总计19女,总计20,总计20男,总计19女,总计21,总计21男,总计21女,总计22,总计22男,总计22女,总计23,总计23男,总计23女,总计24,总计24男,总计24女,总计25,总计25男,总计25女,总计26,总计26男,总计26女,总计27,总计27男,总计27女,总计28,总计28男,总计28女,总计29,总计29男,总计29女,总计30,总计30男,总计30女,总计31,总计31男,总计31女,总计32,总计32男,总计32女,总计33,总计33男,总计33女,总计34,总计34男,总计34女,总计35,总计35男,总计35女,总计36,总计36男,总计36女,总计37,总计37男,总计37女,总计38,总计38男,总计38女,总计39,总计39男,总计39女,总计40,总计40男,总计40女
53,1754013,880793,873220,2608,615,1993,10637,2256,8381,15472,2956,12516,28481,5711,22770,48084,10625,37459,77819,22635,55184,116959,39975,76984,166939,65888,101051,244477,110152,134325,287636,140110,147526,218523,118482,100041,168885,102123,66762,109654,72218,37436,77512,54414,23098,54940,39666,15274,35762,26087,9675,23527,17135,6392,15884,11655,4229,11955,8885,3070,7876,6039,1837,4629,3602,1027,4019,3136,883,3124,2456,668,2716,2102,614,2457,1902,555,2167,1570,597,11271,8398,2873
54,1617702,801386,816316,2442,563,1879,9848,1973,7875,16825,3083,13742,27338,5218,22120,47040,10061,36979,84896,24350,60546,110451,37232,73219,138918,55291,83627,189323,84233,105090,228724,108914,119810,245912,130454,115458,158776,93586,65190,110206,70995,39211,69876,47957,21919,49281,34775,14506,37203,26601,10602,24194,17350,6844,15964,11382,4582,11808,8455,3353,8977,6568,2409,5769,4313,1456,3484,2741,743,3028,2329,699,2385,1846,539,2087,1600,487,1981,1543,438,10966,7973,2993
55-59岁,7863785,3881499,3982286,10840,1842,8998,63405,10201,53204,117697,19418,98279,215395,39499,175896,332175,74871,257304,510137,158052,352085,661654,244281,417373,749660,323417,426243,817475,387993,429482,833837,412757,421080,855613,457787,397826,780770,451492,329278,579612,361551,218061,400477,267363,133114,262519,183273,79246,175171,125883,49288,120917,87260,33657,86001,61879,24122,65028,46752,18276,49074,35570,13504,37494,27302,10192,27322,20148,7174,19691,14772,4919,14576,10956,3620,11127,8439,2688,9001,6832,2169,57117,41909,15208
55,1703123,848259,854864,2836,589,2247,14494,2966,11528,17792,3337,14455,33716,6401,27315,50716,10918,39798,92869,27866,65003,134557,46890,87667,147226,60176,87050,173757,78926,94831,208768,100033,108735,230797,121847,108950,212291,123646,88645,117491,75376,42115,78293,53619,24674,49683,35367,14316,36773,26522,10251,27775,19943,7832,17702,12786,4916,12681,9105,3576,9346,6798,2548,7228,5324,1904,4866,3708,1158,2936,2261,675,2497,1940,557,2055,1625,430,1902,1473,429,12076,8817,3259
56,1713473,848161,865312,2174,405,1769,15626,2890,12736,26304,5105,21199,36218,7060,29158,61461,13615,47846,96657,29416,67241,136875,48474,88401,168547,70409,98138,174537,80675,93862,175518,84957,90561,202614,106566,96048,193357,110422,82935,149335,93278,56057,78899,53649,25250,53221,37572,15649,34920,25248,9672,26660,19343,7317,20075,14371,5704,13916,10115,3801,10001,7323,2678,7637,5585,2052,5965,4425,1540,4038,3134,904,2373,1795,578,2179,1671,508,1833,1392,441,12533,9266,3267
57,1554760,762730,792030,1981,309,1672,12217,1779,10438,27683,4551,23132,47030,8992,38038,58941,13512,45429,101829,31400,70429,127355,46485,80870,153104,65674,87430,175814,83291,92523,152973,75184,77789,150006,79794,70212,151490,86588,64902,125336,76955,48381,89709,59595,30114,46772,32664,14108,33324,24055,9269,22540,16131,6409,17294,12507,4787,14339,10236,4103,9694,6995,2699,7321,5309,2012,5580,4097,1483,4393,3273,1120,3056,2343,713,1806,1409,397,1744,1313,431,11429,8289,3140
58,1568219,772271,795948,1936,285,1651,11919,1495,10424,25211,3665,21546,55256,10087,45169,82133,19001,63132,104681,33343,71338,144309,55255,89054,147378,65929,81449,166605,81380,85225,169004,86445,82559,143117,77940,65177,124779,72844,51935,110321,68237,42084,87114,57289,29825,60731,42132,18599,32922,23633,9289,23425,16932,6493,15820,11399,4421,13347,9585,3762,11070,8035,3035,7739,5599,2140,5613,4112,1501,4431,3279,1152,3668,2722,946,2519,1870,649,1655,1243,412,11516,8535,2981
59,1324210,650078,674132,1913,254,1659,9149,1071,8078,20707,2760,17947,43175,6959,36216,78924,17825,61099,114101,36027,78074,118558,47177,71381,133405,61229,72176,126762,63721,63041,127574,66138,61436,129079,71640,57439,98853,57992,40861,77129,47705,29424,66462,43211,23251,52112,35538,16574,37232,26425,10807,20517,14911,5606,15110,10816,4294,10745,7711,3034,8963,6419,2544,7569,5485,2084,5298,3806,1492,3893,2825,1068,2982,2156,826,2568,1864,704,1867,1411,456,9563,7002,2561
60-64岁,5720573,2843926,2876647,14060,2551,11509,66884,9757,57127,113876,16684,97192,197811,34118,163693,316432,70099,246333,544889,176009,368880,700794,278241,422553,679622,321666,357956,627087,333250,293837,502653,284129,218524,420086,250779,169307,347776,220433,127343,273975,182499,91476,213307,148530,64777,166853,120041,46812,130205,95684,34521,97853,72863,24990,65104,49043,16061,48298,36405,11893,35069,26551,8518,26416,19744,6672,20776,15478,5298,17179,12704,4475,14282,10241,4041,12472,8875,3597,11627,8180,3447,55187,39372,15815
60,1333914,660706,673208,2516,408,2108,11935,1640,10295,18829,2607,16222,41556,6714,34842,74424,15976,58448,130106,41767,88339,153752,60763,92989,124407,58771,65636,133361,69199,64162,113441,61263,52178,114931,65456,49475,105973,64511,41462,73125,46631,26494,56488,37432,19056,47197,32663,14534,37175,26344,10831,26397,19044,7353,13721,10133,3588,10830,7796,3034,7947,5776,2171,7062,5042,2020,5957,4303,1654,4079,2977,1102,3166,2228,938,2641,1921,720,2418,1775,643,10480,7566,2914
