½ÌÓý³Ì¶È,×ÜÊý15,ÄÐ15,Å®15,Î´»é×ÜÊý,Î´»éÄÐ,Î´»éÅ®,ÅäÅ¼×ÜÊý,ÅäÅ¼ÄÐ,ÅäÅ¼Å®,Àë»é×ÜÊý,Àë»éÄÐ,Àë»éÅ®,É¥Å¼×ÜÊý,É¥Å¼ÄÐ,É¥Å¼Å®
39,36721,11703,25018,5687,4843,844,29769,6391,23378,568,298,270,697,171,526
40-44Ëê,240803,68045,172758,29689,25787,3902,200397,38909,161488,3756,1965,1791,6961,1384,5577
40,46138,13893,32245,6642,5638,1004,37669,7636,30033,749,392,357,1078,227,851
41,44901,13189,31712,5730,4941,789,37278,7617,29661,749,390,359,1144,241,903
42,51712,14424,37288,6281,5445,836,43212,8311,34901,792,393,399,1427,275,1152
43,45537,12427,33110,5151,4503,648,38309,7270,31039,670,363,307,1407,291,1116
44,52515,14112,38403,5885,5260,625,43929,8075,35854,796,427,369,1905,350,1555
45-49Ëê,267622,62934,204688,24405,21738,2667,227187,37407,189780,3397,1773,1624,12633,2016,10617
45,54157,14392,39765,6005,5332,673,45163,8235,36928,756,393,363,2233,432,1801
46,55047,13626,41421,5546,4989,557,46351,7849,38502,726,380,346,2424,408,2016
47,63078,14754,48324,5947,5307,640,53365,8522,44843,807,430,377,2959,495,2464
48,57737,12268,45469,4379,3885,494,49768,7634,42134,657,341,316,2933,408,2525
49,37603,7894,29709,2528,2225,303,32540,5167,27373,451,229,222,2084,273,1811
50-54Ëê,399763,92241,307522,25660,23857,1803,338207,61191,277016,4154,2301,1853,31742,4892,26850
50,52775,12006,40769,3736,3340,396,44876,7745,37131,682,341,341,3481,580,2901
51,53978,12852,41126,3640,3347,293,45780,8549,37231,632,356,276,3926,600,3326
52,83652,19938,63714,5741,5390,351,70555,13052,57503,871,511,360,6485,985,5500
53,103090,23662,79428,6387,6000,387,87362,15834,71528,966,528,438,8375,1300,7075
54,106268,23783,82485,6156,5780,376,89634,16011,73623,1003,565,438,9475,1427,8048
55-59Ëê,694078,158386,535692,35890,33940,1950,572236,109614,462622,5852,3133,2719,80100,11699,68401
55,122745,27567,95178,6960,6576,384,103051,18733,84318,1126,578,548,11608,1680,9928
56,136482,30452,106030,7258,6859,399,113761,20929,92832,1139,607,532,14324,2057,12267
57,140109,31583,108526,7074,6665,409,115718,21899,93819,1230,666,564,16087,2353,13734
58,155814,36489,119325,7962,7570,392,127493,25372,102121,1275,688,587,19084,2859,16225
59,138928,32295,106633,6636,6270,366,112213,22681,89532,1082,594,488,18997,2750,16247
60-64Ëê,766313,190288,576025,35003,33058,1945,579153,131223,447930,5543,2995,2548,146614,23012,123602
60,155054,38574,116480,7690,7240,450,121671,26659,95012,1250,686,564,24443,3989,20454
61,159740,41340,118400,7619,7268,351,123061,28833,94228,1166,628,538,27894,4611,23283
62,151893,37768,114125,6778,6417,361,115211,26139,89072,1113,609,504,28791,4603,24188
63,150398,37062,113336,6569,6192,377,111309,25545,85764,1001,541,460,31519,4784,26735
64,149228,35544,113684,6347,5941,406,107901,24047,83854,1013,531,482,33967,5025,28942
65,3852835,1021757,2831078,88835,76135,12700,1773818,597327,1176491,20239,8562,11677,1969943,339733,1630210
Ð¡Ñ§,25012404,11195068,13817336,1537761,1132416,405345,20561413,8936868,11624545,293224,194394,98830,2620006,931390,1688616
15-19Ëê,313590,159504,154086,287750,154704,133046,25563,4733,20830,234,60,174,43,7,36
15,40587,21954,18633,40320,21915,18405,262,37,225,3,1,2,2,1,1
16,49685,26560,23125,48524,26396,22128,1150,162,988,9,1,8,2,1,1
17,63130,32638,30492,59844,32091,27753,3250,539,2711,29,6,23,7,2,5
18,74632,37247,37385,67075,35910,31165,7482,1316,6166,67,20,47,8,1,7
19,85556,41105,44451,71987,38392,33595,13419,2679,10740,126,32,94,24,2,22
20-24Ëê,682065,297968,384097,365050,211679,153371,312421,84418,228003,3910,1653,2257,684,218,466
20,124350,56845,67505,92742,50258,42484,31236,6457,24779,325,116,209,47,14,33
21,127534,56686,70848,81545,46157,35388,45411,10308,35103,498,190,308,80,31,49
22,132714,57611,75103,71010,41558,29452,60818,15721,45097,744,296,448,142,36,106
23,151474,65104,86370,66629,40277,26352,83640,24299,59341,1012,463,549,193,65,128
24,145993,61722,84271,53124,33429,19695,91316,27633,63683,1331,588,743,222,72,150
25-29Ëê,777432,323937,453495,167872,115523,52349,596412,201878,394534,10900,5753,5147,2248,783,1465
25,139869,58665,81204,42207,27372,14835,95851,30438,65413,1522,751,771,289,104,185
26,143772,59740,84032,36012,24181,11831,105619,34531,71088,1797,918,879,344,110,234
27,145926,60772,85154,31128,21590,9538,112355,37976,74379,2015,1049,966,428,157,271
28,176544,73300,103244,31803,22657,9146,141438,48997,92441,2732,1453,1279,571,193,378
29,171321,71460,99861,26722,19723,6999,141149,49936,91213,2834,1582,1252,616,219,397
30-34Ëê,1172058,480869,691189,119176,95042,24134,1024683,370362,654321,22016,13266,8750,6183,2199,3984
30,189752,77145,112607,25727,19142,6585,159797,55796,104001,3464,1934,1530,764,273,491
31,213140,88404,124736,25053,19559,5494,183141,66185,116956,3944,2302,1642,1002,358,644
32,233775,95629,138146,23723,19065,4658,204351,73417,130934,4452,2696,1756,1249,451,798
33,238981,98587,140394,21256,17524,3732,211786,77715,134071,4595,2856,1739,1344,492,852
34,296410,121104,175306,23417,19752,3665,265608,97249,168359,5561,3478,2083,1824,625,1199
35-39Ëê,2056579,832553,1224026,119746,105816,13930,1880916,695544,1185372,37725,24902,12823,18192,6291,11901
35,331061,135718,195343,23810,20538,3272,298650,110362,188288,6290,3997,2293,2311,821,1490
36,382124,155108,227016,24866,21636,3230,347234,127882,219352,7097,4590,2507,2927,1000,1927
37,413119,167802,245317,24221,21413,2808,377732,140107,237625,7600,5017,2583,3566,1265,2301
38,449228,179975,269253,23838,21388,2450,413098,151650,261448,8127,5480,2647,4165,1457,2708
39,481047,193950,287097,23011,20841,2170,444202,165543,278659,8611,5818,2793,5223,1748,3475
40-44Ëê,2852813,1145183,1707630,107622,99323,8299,2648232,996533,1651699,48761,33546,15215,48198,15781,32417
40,563201,225361,337840,24855,22610,2245,521103,193525,327578,10159,6847,3312,7084,2379,4705
41,551274,223655,327619,21914,20161,1753,511642,194224,317418,9535,6545,2990,8183,2725,5458
42,626197,251870,374327,22813,21112,1701,582175,219945,362230,10757,7315,3442,10452,3498,6954
43,522459,208834,313625,18219,16931,1288,485631,182657,302974,8574,6001,2573,10035,3245,6790
44,589682,235463,354219,19821,18509,1312,547681,206182,341499,9736,6838,2898,12444,3934,8510
45-49Ëê,2469825,927939,1541886,72151,67771,4380,2284307,813698,1470609,37438,25839,11599,75929,20631,55298
45,567152,222524,344628,18446,17273,1173,525344,194580,330764,9203,6494,2709,14159,4177,9982
46,538016,205750,332266,16716,15597,1119,497388,179888,317500,8447,5794,2653,15465,4471,10994
47,599698,225414,374284,17523,16572,951,554398,197509,356889,9138,6342,2796,18639,4991,13648
48,483470,174303,309167,12484,11758,726,447398,153680,293718,6785,4600,2185,16803,4265,12538
49,281489,99948,181541,6982,6571,411,259779,88041,171738,3865,2609,1256,10863,2727,8136
50-54Ëê,2567624,1039505,1528119,64894,62433,2461,2334036,915193,1418843,33061,22823,10238,135633,39056,96577
50,381045,145376,235669,9996,9499,497,348812,127555,221257,5557,3724,1833,16680,4598,12082
51,372530,150633,221897,9673,9227,446,339608,132651,206957,5212,3608,1604,18037,5147,12890
52,541110,219922,321188,14398,13893,505,491492,192771,298721,7230,5066,2164,27990,8192,19798
53,640430,263583,376847,15820,15325,495,581644,232531,349113,7715,5428,2287,35251,10299,24952
54,632509,259991,372518,15007,14489,518,572480,229685,342795,7347,4997,2350,37675,10820,26855
55-59Ëê,3658025,1610067,2047958,79763,77220,2543,3256881,1421784,1835097,37492,25077,12415,283889,85986,197903
55,711557,301409,410148,16666,16155,511,641120,266383,374737,7918,5331,2587,45853,13540,32313
56,760744,329996,430748,17214,16679,535,682194,291882,390312,8081,5355,2726,53255,16080,37175
57,737913,324774,413139,16099,15585,514,657204,286933,370271,7561,5053,2508,57049,17203,39846
58,777676,349932,427744,16267,15734,533,687937,308935,379002,7659,5106,2553,65813,20157,45656
59,670135,303956,366179,13517,13067,450,588426,267651,320775,6273,4232,2041,61919,19006,42913
60-64Ëê,3065955,1482997,1582958,61650,59325,2325,2595266,1282291,1312975,26404,17885,8519,382635,123496,259139
60,690159,321523,368636,14315,13762,553,597263,280527,316736,6311,4199,2112,72270,23035,49235
61,681146,331263,349883,13726,13228,498,583008,288095,294913,5955,4076,1879,78457,25864,52593
62,603035,293467,309568,11989,11523,466,510150,254054,256096,5176,3494,1682,75720,24396,51324
63,572266,282943,289323,11230,10819,411,477850,243460,234390,4745,3278,1467,78441,25386,53055
64,519349,253801,265548,10390,9993,397,426995,216155,210840,4217,2838,1379,77747,24815,52932
65,5396438,2894546,2501892,92087,83580,8507,3602696,2150434,1452262,35283,23590,11693,1666372,636942,1029430
³õÖÐ,45205959,24244157,20961802,9302575,5459991,3842584,34390277,18017548,16372729,677176,399467,277709,835931,367151,468780
15-19Ëê,4147782,2217766,1930016,4062469,2196507,1865962,84632,21077,63555,629,163,466,52,19,33
15,1210948,656037,554911,1210669,655971,554698,274,65,209,4,,4,1,1,
16,808472,435959,372513,806704,435581,371123,1753,373,1380,14,5,9,1,,1
17,690218,369253,320965,682851,367737,315114,7313,1503,5810,47,11,36,7,2,5
18,683874,362066,321808,660821,356701,304120,22872,5321,17551,166,38,128,15,6,9
19,754270,394451,359819,701424,380517,320907,52420,13815,38605,398,109,289,28,10,18
20-24Ëê,5380858,2650038,2730820,3380200,1937888,1442312,1982642,703998,1278644,16372,7697,8675,1644,455,1189
20,1037556,524918,512638,884191,484738,399453,152200,39801,112399,1069,360,709,96,19,77
21,1048819,518160,530659,792533,446207,346326,254329,71214,183115,1768,696,1072,189,43,146
22,1050760,512936,537824,665588,383146,282442,381956,128377,253579,2923,1332,1591,293,81,212
23,1172215,573722,598493,598657,355673,242984,568644,215738,352906,4459,2183,2276,455,128,327
24,1071508,520302,551206,439231,268124,171107,625513,248868,376645,6153,3126,3027,611,184,427
25-29Ëê,4875163,2428646,2446517,1048622,683996,364626,3766665,1712163,2054502,54303,30635,23668,5573,1852,3721
25,962392,471532,490860,316163,198547,117616,638481,269138,369343,7031,3623,3408,717,224,493
26,959714,472942,486772,246998,158942,88056,702964,308815,394149,8862,4883,3979,890,302,588
27,933546,465339,468207,188943,124985,63958,733082,334050,399032,10462,5940,4522,1059,364,695
28,1072931,540037,532894,171997,116140,55857,885416,415334,470082,14092,8106,5986,1426,457,969
29,946580,478796,467784,124521,85382,39139,806722,384826,421896,13856,8083,5773,1481,505,976
30-34Ëê,4798262,2454065,2344197,356138,260350,95788,4338227,2134970,2203257,90804,54279,36525,13093,4466,8627
30,922483,466944,455539,100802,70357,30445,804434,386860,417574,15433,9102,6331,1814,625,1189
31,967042,493239,473803,82074,59387,22687,865341,422676,442665,17401,10399,7002,2226,777,1449
32,955486,487533,467953,67938,50101,17837,866731,425638,441093,18282,10914,7368,2535,880,1655
33,906296,466826,439470,53577,40505,13072,831629,414343,417286,18365,11089,7276,2725,889,1836
34,1046955,539523,507432,51747,40000,11747,970092,485453,484639,21323,12775,8548,3793,1295,2498
35-39Ëê,6099868,3172653,2927215,201765,162182,39583,5735656,2921498,2814158,130037,77536,52501,32410,11437,20973
35,1082099,558364,523735,47097,37019,10078,1007827,506141,501686,22798,13655,9143,4377,1549,2828
36,1185997,611436,574561,44491,35355,9136,1111011,559318,551693,24964,14868,10096,5531,1895,3636
37,1237501,644061,593440,40512,32793,7719,1164233,593231,571002,26317,15726,10591,6439,2311,4128
38,1287798,671469,616329,36960,30164,6796,1215404,621955,593449,27892,16656,11236,7542,2694,4848
39,1306473,687323,619150,32705,26851,5854,1237181,640853,596328,28066,16631,11435,8521,2988,5533
40-44Ëê,6383181,3393683,2989498,110389,93471,16918,6069724,3194341,2875383,137254,81444,55810,65814,24427,41387
40,1416482,745491,670991,31077,25837,5240,1342985,697142,645843,31250,18459,12791,11170,4053,7117
41,1262129,666768,595361,23457,19859,3598,1199039,626071,572968,28013,16574,11439,11620,4264,7356
42,1373194,730365,642829,22686,19234,3452,1306217,688012,618205,30073,17770,12303,14218,5349,8869
43,1094835,585644,509191,16334,14040,2294,1043345,553477,489868,22412,13400,9012,12744,4727,8017
44,1236541,665415,571126,16835,14501,2334,1178138,629639,548499,25506,15241,10265,16062,6034,10028
45-49Ëê,4954604,2676261,2278343,59502,52201,7301,4697846,2527836,2170010,107496,63336,44160,89760,32888,56872
45,1208204,649443,558761,15587,13465,2122,1148353,613866,534487,26208,15387,10821,18056,6725,11331
46,1133648,606095,527553,13951,12187,1764,1075509,572411,503098,25309,14730,10579,18879,6767,12112
47,1261502,682316,579186,14553,12853,1700,1195707,644589,551118,27823,16340,11483,23419,8534,14885
48,892039,487861,404178,10205,9069,1136,845087,461025,384062,17989,10802,7187,18758,6965,11793
49,459211,250546,208665,5206,4627,579,433190,235945,197245,10167,6077,4090,10648,3897,6751
50-54Ëê,2928970,1697982,1230988,31900,28854,3046,2741946,1594256,1147690,62685,37268,25417,92439,37604,54835
50,561390,310989,250401,6434,5761,673,526577,291482,235095,13586,8149,5437,14793,5597,9196
51,481519,278823,202696,5363,4791,572,451478,262078,189400,10828,6433,4395,13850,5521,8329
52,620341,359427,260914,6895,6290,605,580568,337257,243311,13291,7936,5355,19587,7944,11643
53,668262,395762,272500,6886,6289,597,625748,372234,253514,13374,7946,5428,22254,9293,12961
54,597458,352981,244477,6322,5723,599,557575,331205,226370,11606,6804,4802,21955,9249,12706
55-59Ëê,2621922,1587038,1034884,25240,22353,2887,2426037,1484543,941494,46560,27113,19447,124085,53029,71056
55,612256,366608,245648,6510,5822,688,569238,343124,226114,11767,6951,4816,24741,10711,14030
56,593913,355798,238115,5682,5091,591,550843,333283,217560,11349,6532,4817,26039,10892,15147
57,514136,310755,203381,4875,4304,571,475712,290742,184970,8930,5257,3673,24619,10452,14167
58,496783,304671,192112,4652,4097,555,458555,284892,173663,8143,4706,3437,25433,10976,14457
59,404834,249206,155628,3521,3039,482,371689,232502,139187,6371,3667,2704,23253,9998,13255
60-64Ëê,1414359,891595,522764,11493,10012,1481,1273389,820769,452620,17911,11043,6868,111566,49771,61795
60,380196,236194,144002,3158,2722,436,346189,218815,127374,5673,3407,2266,25176,11250,13926
61,318033,201229,116804,2547,2225,322,288307,186163,102144,3971,2383,1588,23208,10458,12750
62,253710,160260,93450,2045,1790,255,228032,147286,80746,3119,1913,1206,20514,9271,11243
63,237016,150635,86381,1873,1634,239,211493,137977,73516,2690,1750,940,20960,9274,11686
64,225404,143277,82127,1870,1641,229,199368,130528,68840,2458,1590,868,21708,9518,12190
65,1600990,1074430,526560,14857,12177,2680,1273513,902097,371416,13125,8953,4172,299495,151203,148292
¸ßÖÐ,17208583,9547986,7660597,6679086,3661288,3017798,10019668,5664229,4355439,290025,136255,153770,219804,86214,133590
15-19Ëê,3909889,2024233,1885656,3902460,2022131,1880329,7391,2092,5299,36,10,26,2,,2
15,459132,230875,228257,459110,230861,228249,22,14,8,,,,,,
16,860399,439663,420736,860278,439631,420647,120,32,88,1,,1,,,
17,1071267,549860,521407,1070788,549726,521062,475,133,342,3,1,2,1,,1
18,892162,469686,422476,890430,469221,421209,1727,463,1264,5,2,3,,,
19,626929,334149,292780,621854,332692,289162,5047,1450,3597,27,7,20,1,,1
20-24Ëê,2369140,1265687,1103453,1965542,1108961,856581,401158,155765,245393,2204,896,1308,236,65,171
20,617088,327822,289266,597449,322684,274765,19562,5111,14451,64,22,42,13,5,8
21,493336,261847,231489,453058,250661,202397,40086,11123,28963,167,55,112,25,8,17
22,434925,233370,201555,362951,207277,155674,71634,25976,45658,300,104,196,40,13,27
23,445446,238832,206614,320821,188140,132681,123858,50366,73492,691,308,383,76,18,58
24,378345,203816,174529,231263,140199,91064,146018,63189,82829,982,407,575,82,21,61
25-29Ëê,1598737,858922,739815,532078,338182,193896,1052273,514026,538247,13475,6459,7016,911,255,656
25,315311,170305,145006,160620,99605,61015,153355,70112,83243,1222,552,670,114,36,78
26,302223,162910,139313,123471,78068,45403,176950,84003,92947,1675,801,874,127,38,89
27,303227,162454,140773,97658,62659,34999,202954,98582,104372,2475,1181,1294,140,32,108
28,360878,193138,167740,89445,57994,31451,267279,133206,134073,3906,1863,2043,248,75,173
29,317098,170115,146983,60884,39856,21028,251735,128123,123612,4197,2062,2135,282,74,208
30-34Ëê,1508201,818339,689862,148142,99158,48984,1324840,702593,622247,32817,15889,16928,2402,699,1703
30,308068,165462,142606,46874,30872,16002,255752,132027,123725,5092,2453,2639,350,110,240
31,323130,174488,148642,35616,23860,11756,280832,147511,133321,6271,2993,3278,411,124,287
32,306659,166398,140261,27846,18689,9157,271566,144302,127264,6772,3275,3497,475,132,343
33,274119,149623,124496,20025,13601,6424,246856,132600,114256,6718,3263,3455,520,159,361
